feature,importance
2026ti0724.pv_mean,0.00017587532
2026ti0736.pv_skew,0.00017362565
2026vi0737y.pv_kurt,0.00017050456
2026ti0736.pv_min,0.00017040804
2026ti0733.pv_kurt,0.00016737077
2026ti0733.pv_crest,0.00016706786
2026vi0732y.pv_std,0.00015440413
2026vi0734y.pv_rms,0.0001522478
vib_std_mean,0.00015184656
2026ti0740.pv_crest,0.0001509766
2026ti0743.pv_rms,0.00014916973
2026ti0724.pv_crest,0.00014622923
2026vi0731y.pv_skew,0.00014030313
2026vi0735x.pv_max,0.00013546397
2026vi0733x.pv_p2p,0.00012956337
2026vi0735x.pv_crest,0.0001232384
vib_kurt_mean,0.00012073572
2026vi0733y.pv_skew,0.000118714765
2026vi0736y.pv_skew,0.000117483854
2026ti0730.pv_crest,0.00011627466
2026ti0730.pv_p2p,0.00011492289
2026vi0734y.pv_p2p,0.00011328387
2026ti0742.pv_kurt,0.00010773924
2026vi0735x.pv_std,0.000107114996
2026ti0734.pv_mean,0.00010295974
2026ti0734.pv_skew,0.00010144339
2026vi0736x.pv_max,9.743171e-05
2026vi0731y.pv_std,9.6085896e-05
2026ti0744.pv_max,9.542473e-05
2026vi0731x.pv_kurt,9.467719e-05
2026ti0744.pv_skew,9.446444e-05
temp_max_all,9.255675e-05
2026vi0732y.pv_min,8.765989e-05
2026ti0741.pv_max,8.395672e-05
2026ti0741.pv_crest,8.3201696e-05
2026ti0732.pv_max,8.252927e-05
2026ti0744.pv_rms,8.244152e-05
2026vi0738x.pv_min,7.903216e-05
vib_peak_max,7.902325e-05
2026vi0731y.pv_p2p,7.880774e-05
2026ti0742.pv_max,7.860179e-05
2026ti0745.pv_crest,7.402286e-05
2026ti0724.pv_p2p,7.2910254e-05
2026ti0732.pv_min,7.151378e-05
vib_rms_mean,6.64916e-05
2026ti0743.pv_std,6.607269e-05
2026ti0725.pv_min,6.448982e-05
2026ti0737.pv_crest,6.107835e-05
2026vi0735x.pv_mean,5.9345388e-05
2026vi0734x.pv_max,5.760825e-05
2026ti0743.pv_max,5.60937e-05
2026vi0735x.pv_rms,5.211292e-05
2026ti0743.pv_mean,5.016567e-05
2026ti0733.pv_min,4.8506347e-05
2026ti0732.pv_std,4.6412853e-05
2026ti0746.pv_max,4.547374e-05
2026vi0736y.pv_std,3.970091e-05
2026ti0724.pv_skew,3.8845148e-05
2026ti0731.pv_std,3.857531e-05
2026ti0734.pv_crest,3.4888533e-05
2026vi0734y.pv_max,2.7556158e-05
2026ti0744.pv_min,2.7274935e-05
2026ti0734.pv_min,2.181598e-05
2026vi0732y.pv_skew,1.9606656e-05
2026vi0733x.pv_max,1.8346474e-05
2026ti0744.pv_kurt,1.630134e-05
2026ti0739.pv_kurt,2.372409e-06
2026ti0742.pv_mean,2.0973366e-06
2026vi0731y.pv_kurt,0.0
2026vi0732x.pv_band_low,0.0
2026vi0731y.pv_max,0.0
